SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,1091 Westbury Dr,SAN JOSE,CA,95131,899000,2,2.5,SAN JOSE,1213,619,2007,3,741,150,Active,,,http://www.redfin.com/CA/San-Jose/1091-Westbury-Dr-95131/home/17288200,MLSListings,ML81785823,N,Y,37.39369,-121.902743
MLS Listing,,Single Family Residential,1927 N Star Cir,SAN JOSE,CA,95131,899999,2,2.5,SAN JOSE,1093,2941,1984,3,823,81,Active,,,http://www.redfin.com/CA/San-Jose/1927-N-Star-Cir-95131/home/1199615,MLSListings,ML81788409,Y,Y,37.4009305,-121.8850113
MLS Listing,,Single Family Residential,1319 Mayberry Ln,SAN JOSE,CA,95131,1788888,4,3.0,SAN JOSE,2668,4237,1999,5,670,,Active,,,http://www.redfin.com/CA/San-Jose/1319-Mayberry-Ln-95131/home/1856383,MLSListings,ML81788272,N,Y,37.374516,-121.882788
MLS Listing,,Townhouse,1040 Goldenstar Pl,SAN JOSE,CA,95131,1079000,2,3.0,SAN JOSE,1622,658,2014,8,665,275,Active,,,http://www.redfin.com/CA/San-Jose/1040-Goldenstar-Pl-95131/home/95957524,MLSListings,ML81788085,N,Y,37.3793868,-121.8968548
MLS Listing,,Single Family Residential,1309 Pietro Dr,SAN JOSE,CA,95131,1180000,3,2.5,SAN JOSE,1662,3982,1986,8,710,60,Active,,,http://www.redfin.com/CA/San-Jose/1309-Pietro-Dr-95131/home/1612950,MLSListings,ML81784232,N,Y,37.378923,-121.88012
MLS Listing,,Mobile/Manufactured Home,2151 Oakland Rd #389,SAN JOSE,CA,95131,190000,2,2.0,SAN JOSE,1152,,1974,10,165,,Active,,,http://www.redfin.com/CA/San-Jose/2151-Oakland-Rd-95131/unit-389/home/1176024,MLSListings,ML81787943,N,Y,37.3962328,-121.9053495
MLS Listing,,Single Family Residential,2318 Oak Flat Rd,SAN JOSE,CA,95131,1199000,3,2.0,SAN JOSE,1497,6301,1974,13,801,,Active,,,http://www.redfin.com/CA/San-Jose/2318-Oak-Flat-Rd-95131/home/1712039,MLSListings,ML81787613,Y,Y,37.3963273,-121.8780745
MLS Listing,,Condo/Co-op,1015 Abruzzo Ln #3,SAN JOSE,CA,95131,988000,2,2.0,SAN JOSE,1371,1885,2018,24,721,285,Active,,,http://www.redfin.com/CA/San-Jose/1015-Abruzzo-Ln-95133/unit-3/home/167214176,MLSListings,ML81786577,N,Y,37.371618,-121.878845
MLS Listing,,Mobile/Manufactured Home,2151 Oakland #562,SAN JOSE,CA,95131,299900,3,2.0,SAN JOSE,1344,,1988,25,223,,Active,,,http://www.redfin.com/CA/San-Jose/2151-Oakland-Rd-95131/unit-562/home/1786673,MLSListings,ML81786429,N,Y,37.3962328,-121.9053495
MLS Listing,,Mobile/Manufactured Home,2151 Oakland Rd #56,SAN JOSE,CA,95131,249900,3,2.0,SAN JOSE,1248,,1973,26,200,,Active,,,http://www.redfin.com/CA/San-Jose/2151-Oakland-Rd-95131/unit-56/home/109509559,MLSListings,ML81786139,N,Y,37.3962325,-121.9053487
