SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-16-2019,Townhouse,1803 Queen Victoria Way,SAN JOSE,CA,95132,800000,4,2.5,SAN JOSE,1474,1055,1970,233,543,235,Sold,,,http://www.redfin.com/CA/San-Jose/1803-Queen-Victoria-Way-95132/home/1503891,MLSListings,ML81753865,N,Y,37.4127,-121.852216
PAST SALE,November-6-2019,Condo/Co-op,1302 N Capitol Ave #2,SAN JOSE,CA,95132,810088,2,2.5,SAN JOSE,1450,1300,2014,151,559,210,Sold,,,http://www.redfin.com/CA/San-Jose/1302-N-Capitol-Ave-95132/unit-2/home/95955751,MLSListings,ML81769378,N,Y,37.3916832,-121.8653661
PAST SALE,June-17-2019,Condo/Co-op,1888 Piedmont Rd,SAN JOSE,CA,95132,600000,2,1.0,SAN JOSE,884,1440,1971,293,679,230,Sold,,,http://www.redfin.com/CA/San-Jose/1888-Piedmont-Rd-95132/home/934826,MLSListings,ML81737666,N,Y,37.413689,-121.854528
PAST SALE,June-25-2019,Vacant Land,0 Boulder Dr,SAN JOSE,CA,95132,186000,,,SAN JOSE,,17491,,285,,,Sold,,,http://www.redfin.com/CA/San-Jose/Boulder-Dr-95132/home/161056646,MLSListings,ML81755486,N,Y,37.399133,-121.822878
PAST SALE,November-21-2019,Single Family Residential,2057 Stonewood Ln,SAN JOSE,CA,95132,1050000,4,2.0,SAN JOSE,1480,6307,1970,136,709,,Sold,,,http://www.redfin.com/CA/San-Jose/2057-Stonewood-Ln-95132/home/571467,MLSListings,ML81773707,N,Y,37.416563,-121.8621985
PAST SALE,December-13-2019,Single Family Residential,1987 Majestic Way,SAN JOSE,CA,95132,1072500,3,2.0,SAN JOSE,1372,6202,1971,114,782,,Sold,,,http://www.redfin.com/CA/San-Jose/1987-Majestic-Way-95132/home/1127159,MLSListings,ML81775082,N,Y,37.4134802,-121.8569504
PAST SALE,,Single Family Residential,3568 Briarbrook Ct,San Jose,CA,95132,1230000,4,2.0,,1383,7267,1971,,889,,,,,http://www.redfin.com/CA/San-Jose/3568-Briarbrook-Ct-95132/home/1231768,,,N,Y,37.4149484,-121.8574397
PAST SALE,March-17-2020,Single Family Residential,1918 Conifer Ct,SAN JOSE,CA,95132,1330000,4,2.5,SAN JOSE,1786,7920,1968,19,745,,Sold,,,http://www.redfin.com/CA/San-Jose/1918-Conifer-Ct-95132/home/1149160,MLSListings,ML81780553,N,Y,37.4137598,-121.862154
PAST SALE,June-3-2019,Single Family Residential,3146 Penitencia Creek Rd,SAN JOSE,CA,95132,1280000,4,2.5,SAN JOSE,1971,6882,1976,307,649,,Sold,,,http://www.redfin.com/CA/San-Jose/3146-Penitencia-Creek-Rd-95132/home/1497494,MLSListings,ML81749820,N,Y,37.3894593,-121.8442295
PAST SALE,June-14-2019,Single Family Residential,3259 Fleur De Lis Ct,SAN JOSE,CA,95132,1185000,4,2.0,SAN JOSE,2034,6236,1976,296,583,,Sold,,,http://www.redfin.com/CA/San-Jose/3259-Fleur-De-Lis-Ct-95132/home/1545124,MLSListings,ML81748127,N,Y,37.3936683,-121.8434734
PAST SALE,July-29-2019,Single Family Residential,2682 Brookhollow Dr,SAN JOSE,CA,95132,1427000,5,3.0,SAN JOSE,2410,4303,1997,251,592,,Sold,,,http://www.redfin.com/CA/San-Jose/2682-Brookhollow-Dr-95132/home/1072467,MLSListings,ML81756063,N,Y,37.3921198,-121.8679355
PAST SALE,August-14-2019,Single Family Residential,2886 Bellini Ct,SAN JOSE,CA,95132,1125000,3,2.0,SAN JOSE,1663,6729,1970,235,676,,Sold,,,http://www.redfin.com/CA/San-Jose/2886-Bellini-Ct-95132/home/1388358,MLSListings,ML81760044,N,Y,37.3983326,-121.859619
PAST SALE,August-23-2019,Single Family Residential,2772 Longford Dr,SAN JOSE,CA,95132,1125000,5,2.5,SAN JOSE,1938,6520,1964,226,580,,Sold,,,http://www.redfin.com/CA/San-Jose/2772-Longford-Dr-95132/home/938081,MLSListings,ML81754377,N,Y,37.3964373,-121.8666903
PAST SALE,November-1-2019,Single Family Residential,3468 Whitman Way,SAN JOSE,CA,95132,1050000,3,2.5,SAN JOSE,1705,7800,1965,156,616,,Sold,,,http://www.redfin.com/CA/San-Jose/3468-Whitman-Way-95132/home/1145643,MLSListings,ML81771707,N,Y,37.3967014,-121.8384913
PAST SALE,November-12-2019,Condo/Co-op,1308 Bernoulli Pl #7,SAN JOSE,CA,95132,1108000,4,3.5,SAN JOSE,2068,1300,2014,145,536,210,Sold,,,http://www.redfin.com/CA/San-Jose/1308-Bernoulli-Pl-95132/unit-7/home/62324233,MLSListings,ML81767490,N,Y,37.3920228,-121.8653305
PAST SALE,,Single Family Residential,2739 Longford Dr,San Jose,CA,95132,920000,3,2.0,,1260,5859,1964,,730,,,,,http://www.redfin.com/CA/San-Jose/2739-Longford-Dr-95132/home/938064,,,N,Y,37.3957825,-121.8689361
PAST SALE,December-26-2019,Single Family Residential,2654 Olivestone Way,SAN JOSE,CA,95132,1030000,4,2.0,SAN JOSE,1480,5951,1977,101,696,,Sold,,,http://www.redfin.com/CA/San-Jose/2654-Olivestone-Way-95132/home/167050967,MLSListings,ML81772032,N,Y,37.3927373,-121.8697588
PAST SALE,December-20-2019,Single Family Residential,3144 Vesuvius Ln,SAN JOSE,CA,95132,1130000,3,2.0,SAN JOSE,1300,6175,1960,107,869,,Sold,,,http://www.redfin.com/CA/San-Jose/3144-Vesuvius-Ln-95132/home/737483,MLSListings,ML81775898,N,Y,37.398307,-121.8514353
PAST SALE,January-10-2020,Single Family Residential,1145 Donnora Ct,SAN JOSE,CA,95132,1340000,4,2.5,SAN JOSE,2150,7104,1972,86,623,,Sold,,,http://www.redfin.com/CA/San-Jose/1145-Donnora-Ct-95132/home/668715,MLSListings,ML81773381,N,Y,37.3948632,-121.8480104
PAST SALE,February-4-2020,Single Family Residential,1324 Morrill Ave,San Jose,CA,95132,1145000,4,2.0,San Jose,1660,6780,1969,61,690,,Sold,,,http://www.redfin.com/CA/San-Jose/1324-Morrill-Ave-95132/home/587702,Bridge MLS,40890746,N,Y,37.3949022,-121.8595967
PAST SALE,April-16-2019,Single Family Residential,3282 Tulipwood Ln,SAN JOSE,CA,95132,1080000,3,2.0,SAN JOSE,1300,6160,1964,355,831,27,Sold,,,http://www.redfin.com/CA/San-Jose/3282-Tulipwood-Ln-95132/home/571095,MLSListings,ML81741840,N,Y,37.4166218,-121.867135
PAST SALE,June-20-2019,Single Family Residential,2006 Lockwood Dr,SAN JOSE,CA,95132,1106652,4,2.0,SAN JOSE,1610,6431,1969,290,687,,Sold,,,http://www.redfin.com/CA/San-Jose/2006-Lockwood-Dr-95132/home/641807,MLSListings,ML81752433,N,Y,37.4147963,-121.8595745
PAST SALE,August-14-2019,Townhouse,1924 Piedmont Rd,SAN JOSE,CA,95132,620000,2,1.5,SAN JOSE,988,760,1970,235,628,235,Sold,,,http://www.redfin.com/CA/San-Jose/1924-Piedmont-Rd-95132/home/875542,MLSListings,ML81757529,N,Y,37.414476,-121.855053
PAST SALE,August-23-2019,Single Family Residential,2929 Via Encinitas,SAN JOSE,CA,95132,1075000,5,2.5,SAN JOSE,2002,6213,1969,226,537,,Sold,,,http://www.redfin.com/CA/San-Jose/2929-Via-Encinitas-95132/home/1461755,MLSListings,ML81745308,N,Y,37.4092794,-121.8769628
PAST SALE,September-27-2019,Single Family Residential,2960 Knights Bridge Rd,SAN JOSE,CA,95132,1050000,3,2.0,SAN JOSE,1425,6002,1970,191,737,,Sold,,,http://www.redfin.com/CA/San-Jose/2960-Knights-Bridge-Rd-95132/home/937581,MLSListings,ML81762308,N,Y,37.4045298,-121.8657563
PAST SALE,October-2-2019,Single Family Residential,1514 JAPAUL Ln,SAN JOSE,CA,95132,1000000,3,2.0,SAN JOSE,1440,6729,1971,186,694,,Sold,,,http://www.redfin.com/CA/San-Jose/1514-Japaul-Ln-95132/home/1606130,MLSListings,ML81756132,N,Y,37.4075125,-121.8560609
PAST SALE,October-16-2019,Townhouse,1928 Messina Dr,SAN JOSE,CA,95132,630000,2,1.0,SAN JOSE,968,704,1972,172,651,380,Sold,,,http://www.redfin.com/CA/San-Jose/1928-Messina-Dr-95132/home/1480672,MLSListings,ML81766360,N,Y,37.411104,-121.861784
PAST SALE,February-27-2020,Single Family Residential,1580 Wharton Rd,San Jose,CA,95132,1550000,5,3.0,Berryessa,2504,5662,1997,38,619,,Sold,,,http://www.redfin.com/CA/San-Jose/1580-Wharton-Rd-95132/home/935921,Bridge MLS,40892165,N,Y,37.4081364,-121.8493448
PAST SALE,February-27-2020,Townhouse,3326 Landess Ave Unit C,SAN JOSE,CA,95132,641500,2,1.5,SAN JOSE,976,902,1970,38,657,210,Sold,,,http://www.redfin.com/CA/San-Jose/3326-Landess-Ave-95132/unit-C/home/721210,MLSListings,ML81780534,N,Y,37.4198069,-121.8654673
